date ,gear,crew ,temp_c,set_number,start_time ,end_time ,start_depth_ft,end_depth_ft,lat_start ,long_start,lat_end,long_end,basin,species,tag_id,tl_mm,fl_mm,girth_mm,wt_g,fin,maxillary,stomach,sex,killed,age_est,comments,Code ,Colour 
13-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",9.5,39,07:55,09:30,42,,45.80509,-74.75610,45.80523,-74.75614,East Basin,lt,07079,518,474,224,1010,yes,yes,yes,,,,,,
13-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",9.5,41,08:31,10:14,63,42,45.79948,-74.75459,45.79988,-74.75437,East Basin,lt,07150,523,478,210,990,yes,yes,yes,,,,,,
7-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",7,23,07:59,09:37,46,53,45.80583,-74.75606,45.80631,-74.73626,East Basin,lt,12409,531,486,270,1400,yes,yes,yes,,,,,,
14-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",10,52,10:31,11:50,40,,45.80548,-74.75588,45.80602,-74.75613,East Basin,lt,13,553,605,368,1265,yes,yes,yes,,,,fish released without floy tag,,
5-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",6.9,13,09:15,11:00,100,75,45.79905,-74.75550,45.79945,-74.75510,East Basin,lt,07057,576,530,295,1780,yes,yes,yes,,,,,,
6-May-21,gn,"Domenic Carmaniso, Matt Spetka, Ben Hlina",8,16,08:15,09:40,53,102,45.85559,-74.76935,45.85503,-74.76923,North Basin,lt,6,350,312,152,330,yes,yes,yes,im,x,,culled with otoliths taken-immature,,
6-May-21,gn,"Domenic Carmaniso, Matt Spetka, Ben Hlina",8,21,12:40,14:48,54,,45.84407,-74.77959,45.84452,-74.78022,North Basin,lt,05580,362,330,170,380,yes,yes,yes,,,,,,
6-May-21,gn,"Domenic Carmaniso, Matt Spetka, Ben Hlina",8,16,08:15,09:40,53,102,45.85559,-74.76935,45.85503,-74.76923,North Basin,lt,7,375,335,160,410,yes,yes,yes,f,x,,culled with otoliths taken-overaries present not sure if actually mature though,,
6-May-21,gn,"Domenic Carmaniso, Matt Spetka, Ben Hlina",8,21,12:40,14:48,54,,45.84407,-74.77959,45.84452,-74.78022,North Basin,lt,12401,375,338,165,,yes,yes,no,,,,no weight taken,,
6-May-21,gn,"Domenic Carmaniso, Matt Spetka, Ben Hlina",8,17,08:07,10:25,35,35,,-74.77021,45.85564,-74.76958,North Basin,lt,05587,443,409,185,660,yes,yes,yes,,,,,,
6-May-21,gn,"Domenic Carmaniso, Matt Spetka, Ben Hlina",8,17,08:07,10:25,35,35,,-74.77021,45.85564,-74.76958,North Basin,lt,8,453,412,185,650,yes,yes,yes,m,x,,culled no otoliths taken,,
12-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",8.5,34,08:25,10:30,35,,45.80798,-74.76834,45.80774,-74.76907,North Basin,lt,07086,455,409,203,670,yes,yes,yes,,,,,,
6-May-21,gn,"Domenic Carmaniso, Matt Spetka, Ben Hlina",8,20,12:30,14:30,50,,45.84561,-74.77876,45.84591,-74.77786,North Basin,lt,05581,470,429,205,810,yes,yes,yes,,,,,,
